Sort,Complexity,Time
Quicksort,1462,929800
Quicksort,2793,1356800
Quicksort,1461,756300
Quicksort,2792,1097300
Quicksort,1460,698600
Quicksort,2791,1318000
Quicksort,2790,1011500
Quicksort,1459,917800
Quicksort,2306,1081700
Quicksort,1458,872900
Quicksort,2305,1335100
Quicksort,2789,1270400
Quicksort,1457,899500
Quicksort,2304,1022600
Quicksort,2788,1056600
Quicksort,1456,908100
Quicksort,2303,921900
Quicksort,2787,1056500
Quicksort,1455,781500
Quicksort,2302,980000
Quicksort,2786,1044300
Quicksort,1454,885500
Quicksort,2301,1092700
Quicksort,2785,1140700
Quicksort,1453,816100
Quicksort,2300,1028800
Quicksort,2784,1111500
Quicksort,1452,805300
Quicksort,2783,1008300
Quicksort,2309,983200
Quicksort,2308,1208000
Quicksort,2307,848400
Quicksort,1473,685300
Quicksort,2320,962400
Quicksort,1472,750100
Quicksort,1471,2424400
Quicksort,1470,825000
Quicksort,2317,1139100
Quicksort,1,704200
Quicksort,1469,877900
Quicksort,2316,1019800
Quicksort,2,595400
Quicksort,1468,864000
Quicksort,2315,958400
Quicksort,2799,1201600
Quicksort,3,480200
Quicksort,1467,804800
Quicksort,2314,881300
Quicksort,2798,1228900
Quicksort,4,644600
Quicksort,1466,691700
Quicksort,2313,951200
Quicksort,2797,1211800
Quicksort,5,713600
Quicksort,1465,703000
Quicksort,2312,992300
Quicksort,2796,1140900
Quicksort,6,875500
Quicksort,1464,966000
Quicksort,2311,1403100
Quicksort,2795,1186300
Quicksort,7,976000
Quicksort,1463,828500
Quicksort,2310,1377600
Quicksort,2794,1223700
Quicksort,8,719300
Quicksort,9,873800
Quicksort,2319,1193600
Quicksort,2318,837700
Quicksort,1000,794900
Quicksort,1484,810000
Quicksort,2331,1218500
Quicksort,1483,767600
Quicksort,2330,1154700
Quicksort,1482,747700
Quicksort,1481,721400
Quicksort,1480,740900
Quicksort,2328,1066500
Quicksort,2327,1065700
Quicksort,1479,900900
Quicksort,2326,945900
Quicksort,1478,920200
Quicksort,2325,1248000
Quicksort,1477,800800
Quicksort,2324,1100800
Quicksort,1476,703500
Quicksort,2323,981300
Quicksort,1475,697700
Quicksort,2322,899100
Quicksort,1474,714400
Quicksort,2321,925000
Quicksort,2329,931800
Quicksort,1011,711200
Quicksort,1495,852800
Quicksort,2342,1301800
Quicksort,1010,790000
Quicksort,1494,887800
Quicksort,2341,1139300
Quicksort,1493,729300
Quicksort,2340,2190400
Quicksort,1492,784000
Quicksort,1491,659900
Quicksort,1490,744400
Quicksort,1008,682900
Quicksort,2339,3064000
Quicksort,1007,800400
Quicksort,2338,890500
Quicksort,1006,670000
Quicksort,2337,979500
Quicksort,1005,759000
Quicksort,1489,760800
Quicksort,2336,1326200
Quicksort,1004,1048100
Quicksort,1488,866600
Quicksort,2335,1546100
Quicksort,1003,1086800
Quicksort,1487,718400
Quicksort,2334,1125100
Quicksort,1002,793600
Quicksort,1486,693800
Quicksort,2333,1047600
Quicksort,1001,732600
Quicksort,1485,673100
Quicksort,2332,1094900
Quicksort,1009,784300
Quicksort,1022,761200
Quicksort,2353,1125100
Quicksort,1021,619600
Quicksort,2352,1389200
Quicksort,1020,588200
Quicksort,2351,1000600
Quicksort,2350,1124900
Quicksort,1019,750700
Quicksort,1018,783400
Quicksort,2349,1054800
Quicksort,1017,675200
Quicksort,2348,1225300
Quicksort,1016,826500
Quicksort,2347,1097300
Quicksort,1015,612600
Quicksort,1499,727700
Quicksort,2346,1302000
Quicksort,1014,810500
Quicksort,1498,923900
Quicksort,2345,943200
Quicksort,1013,713700
Quicksort,1497,675500
Quicksort,2344,900000
Quicksort,1012,718400
Quicksort,1496,748400
Quicksort,2343,975800
Quicksort,1033,800200
Quicksort,2364,940100
Quicksort,1032,698700
Quicksort,2363,978900
Quicksort,1031,653100
Quicksort,2362,1075600
Quicksort,1030,650000
Quicksort,2361,851400
Quicksort,2360,1407700
Quicksort,1029,695800
Quicksort,1028,828200
Quicksort,2359,1023000
Quicksort,1027,778500
Quicksort,2358,998900
Quicksort,1026,713000
Quicksort,2357,1040600
Quicksort,1025,690500
Quicksort,2356,977200
Quicksort,600,678500
Quicksort,1024,751700
Quicksort,2355,1071000
Quicksort,601,583400
Quicksort,1023,812000
Quicksort,2354,1083200
Quicksort,602,589100
Quicksort,603,638600
Quicksort,604,637200
Quicksort,605,615600
Quicksort,606,651600
Quicksort,607,518500
Quicksort,608,661700
Quicksort,609,616000
Quicksort,1044,624300
Quicksort,2375,917100
Quicksort,1043,605600
Quicksort,2374,1423400
Quicksort,1042,588400
Quicksort,2373,1176800
Quicksort,1041,706600
Quicksort,2372,912400
Quicksort,1040,812300
Quicksort,2371,1141100
Quicksort,2370,902100
Quicksort,1039,812400
Quicksort,1038,841000
Quicksort,2369,2061700
Quicksort,1037,786200
Quicksort,2368,1277000
Quicksort,610,581000
Quicksort,1036,786500
Quicksort,2367,1517100
Quicksort,611,518400
Quicksort,1035,957400
Quicksort,2366,1214300
Quicksort,612,477400
Quicksort,1034,1018300
Quicksort,2365,1118300
Quicksort,613,519600
Quicksort,614,559700
Quicksort,615,662000
Quicksort,616,466200
Quicksort,617,678600
Quicksort,618,637900
Quicksort,619,905000
Quicksort,1055,914400
Quicksort,2386,1058100
Quicksort,1054,963800
Quicksort,2385,1152700
Quicksort,1053,1276200
Quicksort,2384,912600
Quicksort,1052,615200
Quicksort,2383,924400
Quicksort,1051,656200
Quicksort,2382,1111000
Quicksort,1050,822000
Quicksort,2381,1903700
Quicksort,2380,1031900
Quicksort,1049,789800
Quicksort,620,596400
Quicksort,1048,836400
Quicksort,2379,1196400
Quicksort,621,608600
Quicksort,1047,715700
Quicksort,2378,869500
Quicksort,622,534800
Quicksort,1046,602800
Quicksort,2377,998100
Quicksort,623,556200
Quicksort,1045,621300
Quicksort,2376,916000
Quicksort,624,795500
Quicksort,625,598100
Quicksort,626,560100
Quicksort,627,665100
Quicksort,628,553200
Quicksort,629,499900
Quicksort,1066,723800
Quicksort,2397,1108600
Quicksort,1065,655100
Quicksort,2396,867000
Quicksort,1064,718000
Quicksort,2395,1160200
Quicksort,1063,796000
Quicksort,2394,943800
Quicksort,1062,800300
Quicksort,2393,1388700
Quicksort,1061,699800
Quicksort,2392,920800
Quicksort,1060,586300
Quicksort,2391,1158800
Quicksort,2390,999200
Quicksort,630,545100
Quicksort,631,595400
Quicksort,1059,653200
Quicksort,632,618300
Quicksort,1058,666300
Quicksort,2389,1200600
Quicksort,633,647800
Quicksort,1057,786600
Quicksort,2388,1232700
Quicksort,634,546200
Quicksort,1056,615600
Quicksort,2387,1196900
Quicksort,635,748000
Quicksort,636,561400
Quicksort,637,529200
Quicksort,638,513400
Quicksort,639,680700
Quicksort,1077,625100
Quicksort,1076,643600
Quicksort,1075,781400
Quicksort,1074,683200
Quicksort,1073,742200
Quicksort,1072,708400
Quicksort,1071,690400
Quicksort,1070,718900
Quicksort,640,705300
Quicksort,641,677700
Quicksort,642,643900
Quicksort,643,627900
Quicksort,1069,791300
Quicksort,644,601400
Quicksort,1068,719900
Quicksort,2399,965900
Quicksort,645,585800
Quicksort,1067,621200
Quicksort,2398,925800
Quicksort,646,531800
Quicksort,647,481500
Quicksort,648,493600
Quicksort,649,667600
Quicksort,1080,624400
Quicksort,1088,633200
Quicksort,1087,645400
Quicksort,1086,628300
Quicksort,1085,833800
Quicksort,1084,757900
Quicksort,1083,593500
Quicksort,1082,588200
Quicksort,1081,607900
Quicksort,650,479700
Quicksort,651,616500
Quicksort,652,539800
Quicksort,653,521400
Quicksort,654,635700
Quicksort,655,586000
Quicksort,1079,756700
Quicksort,656,535200
Quicksort,1078,765200
Quicksort,657,513000
Quicksort,658,500900
Quicksort,659,637500
Quicksort,1091,661500
Quicksort,1090,640700
Quicksort,1099,594500
Quicksort,1098,689800
Quicksort,1097,653900
Quicksort,1096,633300
Quicksort,1095,698400
Quicksort,1094,661000
Quicksort,1093,649900
Quicksort,1092,654400
Quicksort,660,577300
Quicksort,661,535400
Quicksort,662,509700
Quicksort,663,552800
Quicksort,664,606300
Quicksort,665,512400
Quicksort,666,771500
Quicksort,667,4030200
Quicksort,1089,680000
Quicksort,668,519500
Quicksort,669,752200
Quicksort,670,623800
Quicksort,671,628700
Quicksort,672,646100
Quicksort,673,525000
Quicksort,674,643500
Quicksort,675,667400
Quicksort,676,652100
Quicksort,677,627600
Quicksort,678,636400
Quicksort,679,768100
Quicksort,680,702900
Quicksort,681,605800
Quicksort,682,606700
Quicksort,683,723000
Quicksort,200,560100
Quicksort,684,584000
Quicksort,201,462400
Quicksort,685,587600
Quicksort,202,497100
Quicksort,686,608100
Quicksort,203,579400
Quicksort,687,596300
Quicksort,204,501100
Quicksort,688,655700
Quicksort,205,507400
Quicksort,689,635500
Quicksort,206,472400
Quicksort,207,564200
Quicksort,208,548500
Quicksort,209,518400
Quicksort,690,668200
Quicksort,691,811000
Quicksort,692,552000
Quicksort,693,557000
Quicksort,210,494100
Quicksort,694,640700
Quicksort,211,621100
Quicksort,695,606400
Quicksort,212,615000
Quicksort,696,528700
Quicksort,213,621400
Quicksort,697,578400
Quicksort,214,501900
Quicksort,698,653800
Quicksort,215,558700
Quicksort,699,593500
Quicksort,216,545200
Quicksort,217,461200
Quicksort,218,477900
Quicksort,219,592700
Quicksort,220,482800
Quicksort,221,509300
Quicksort,222,712500
Quicksort,223,452600
Quicksort,224,510400
Quicksort,225,585700
Quicksort,226,514800
Quicksort,227,537300
Quicksort,228,510400
Quicksort,229,488500
Quicksort,230,450900
Quicksort,231,575600
Quicksort,232,457900
Quicksort,233,539700
Quicksort,234,572700
Quicksort,235,596300
Quicksort,236,569700
Quicksort,237,467100
Quicksort,238,476300
Quicksort,239,472000
Quicksort,1909,981500
Quicksort,1908,1105300
Quicksort,240,515300
Quicksort,241,517100
Quicksort,242,477800
Quicksort,243,531400
Quicksort,244,480200
Quicksort,245,548000
Quicksort,246,490200
Quicksort,247,471900
Quicksort,248,492200
Quicksort,249,2293100
Quicksort,1907,1038400
Quicksort,1906,1049900
Quicksort,1905,886600
Quicksort,1904,1245500
Quicksort,1903,765100
Quicksort,1902,838900
Quicksort,1901,939000
Quicksort,1900,929800
Quicksort,1919,1088800
Quicksort,250,528800
Quicksort,251,548800
Quicksort,252,552800
Quicksort,253,483600
Quicksort,1910,905100
Quicksort,254,533100
Quicksort,255,493200
Quicksort,256,470700
Quicksort,257,540300
Quicksort,258,475300
Quicksort,259,446400
Quicksort,1918,893600
Quicksort,1917,927800
Quicksort,1916,887600
Quicksort,1915,871600
Quicksort,1914,889300
Quicksort,1913,793500
Quicksort,1912,780900
Quicksort,1911,811300
Quicksort,260,604200
